ETF_CODE,ETF_NAME_JP,ETF_TYPE,PROVIDER,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
1305,iFreeETF TOPIX (Yearly Dividend Type),PASSIVE,iFree,,10.0,Other,JP Equity,,0.0
1306,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信,PASSIVE,野村アセットマネジメント,2001/07/13,10.0,Market,JP Equity,,-3132200.0
1308,Listed Index Fund TOPIX,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1311,TOPIX Core 30 Exchange Traded,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1319,Nikkei 300,PASSIVE,Other,,1000.0,Market,JP Equity,,0.0
1320,iFreeETF Nikkei225 (Yearly Dividend Type),PASSIVE,iFree,,1.0,Market,JP Equity,,0.0
1321,ＮＥＸＴ ＦＵＮＤＳ 日経２２５連動型上場投信,PASSIVE,野村アセットマネジメント,2001/07/13,1.0,Market,JP Equity,,0.0
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
1328,NEXT FUNDS Gold Price Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
1329,ｉシェアーズ・コア 日経２２５ ETF,PASSIVE,ブラックロック・ジャパン,2001/09/05,1.0,Market,JP Equity,ソフトバンクグループ,366700.0
1330,Listed Index Fund 225,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
133A,Global X Ultra Short-Term T-Bill ETF,PASSIVE,Global X,,1.0,Bond,Bond,,0.0
1343,NEXT FUNDS REIT INDEX ETF,REIT,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Dividend Payment Type,REIT,Other,,1.0,Other,JP Equity,,0.0
1346,MAXIS NIKKEI225 ETF,PASSIVE,MAXIS,,1.0,Market,JP Equity,,0.0
1348,ＭＡＸＩＳ トピックス上場投信,PASSIVE,三菱UFJアセットマネジメント,2009/05/15,1.0,Market,JP Equity,,0.0
1356,TOPIX Bear -2x ETF,LEVERAGED_INVERSE,Other,,10.0,Leveraged,Leveraged/Inverse,,0.0
1357,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,LEVERAGED_INVERSE,NEXT FUNDS,,1.0,Leveraged,Leveraged/Inverse,,0.0
1358,Listed Index Fund Nikkei Leveraged Index,LEVERAGED_INVERSE,Other,,1.0,Market,JP Equity,,0.0
1360,Nikkei225 Bear -2x ETF,LEVERAGED_INVERSE,Other,,10.0,Leveraged,Leveraged/Inverse,,0.0
1364,iShares JPX-Nikkei 400 ETF,PASSIVE,iShares,,1.0,Market,JP Equity,,0.0
1365,iFreeETF Nikkei225 Leveraged Index,LEVERAGED_INVERSE,iFree,,1.0,Market,JP Equity,,0.0
1366,iFreeETF Nikkei225 Double Inverse Index,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1367,iFreeETF TOPIX Leveraged (2x) Index,LEVERAGED_INVERSE,iFree,,1.0,Market,JP Equity,,0.0
1368,iFreeETF TOPIX Double Inverse (-2x) Index,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1369,One ETF Nikkei225,PASSIVE,One ETF,,1.0,Market,JP Equity,,0.0
1397,SMAM NIKKEI225 ETF,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1398,SMAM REIT Index ETF,REIT,Other,,10.0,Other,JP Equity,,0.0
1399,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
140A,iFreeETF 10-Year U.S. Treasury Note Futures Inverse,BOND,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1456,iFreeETF Nikkei225 Inverse Index,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1457,iFreeETF TOPIX Inverse (-1x) Index,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1458,Rakuten ETF-Nikkei 225 Leveraged Index,LEVERAGED_INVERSE,Other,,1.0,Market,JP Equity,,0.0
1459,Rakuten ETF-Nikkei 225 Double Inverse Index,LEVERAGED_INVERSE,Other,,1.0,Leveraged,Leveraged/Inverse,,0.0
1466,iFreeETF JPX-Nikkei400 Double Inverse (-2x) Index,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
1469,JPX-Nikkei 400 Bear -2x Double Inverse ETF,LEVERAGED_INVERSE,Other,,10.0,Leveraged,Leveraged/Inverse,,0.0
1472,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund,LEVERAGED_INVERSE,NEXT FUNDS,,1.0,Leveraged,Leveraged/Inverse,,0.0
1473,Ｏｎｅ ＥＴＦ トピックス,PASSIVE,アセットマネジメントOne,2015/09/07,10.0,Market,JP Equity,ＮＴＴ,7663000.0
1474,One ETF JPX-Nikkei400,PASSIVE,One ETF,,1.0,Market,JP Equity,,0.0
1475,iShares TOPIX ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
1476,iShares Japan REIT ETF,REIT,iShares,,1.0,Other,JP Equity,,0.0
1477,iShares MSCI Japan Minimum Volatility (ex-REITs) ETF,REIT,iShares,,1.0,Other,JP Equity,,0.0
1478,iShares MSCI Japan High Dividend ETF,PASSIVE,iShares,,1.0,Dividend,JP Equity,,-1649600.0
1479,iFreeETF MSCI Japan Human and Physical Investment Index,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
1481,Listed Index Fund Japanese Economy Contributor Stocks,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1482,iShares US Treasury Bond 7-10 Year JPY Hedged ETF,BOND,iShares,,1.0,Bond,Bond,,0.0
1483,iShares JPX/S&P CAPEX & Human Capital ETF,PASSIVE,iShares,,1.0,Other,JP Equity,ＮＴＴ,14900.0
1484,One ETF JPX/S&P CAPEX & Human Capital Index,PASSIVE,One ETF,,10.0,Other,JP Equity,,-2000.0
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF,ACTIVE,MAXIS,,1.0,Other,JP Equity,,0.0
1486,Listed Index Fund US Bond (No Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
1487,Listed Index Fund US Bond (Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
1488,iFreeETF Tokyo Stock Exchange REIT Index,REIT,iFree,,1.0,Other,JP Equity,,0.0
1489,ＮＥＸＴ ＦＵＮＤＳ 日経平均高配当株５０指数連動型上場投信,PASSIVE,野村アセットマネジメント,2017/02/13,1.0,Market,JP Equity,ソフトバンク,971600.0
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1493,One ETF JPX-Nikkei Mid Small,PASSIVE,One ETF,,1.0,Market,JP Equity,,0.0
1494,One ETF High Dividend Japan Equity,PASSIVE,One ETF,,1.0,Other,JP Equity,,0.0
1495,Listed Index Fund Asian REIT,REIT,Other,,1.0,Other,JP Equity,,0.0
1498,One ETF ESG,PASSIVE,One ETF,,1.0,Other,JP Equity,,0.0
