ETF_CODE,ETF_NAME,SOURCE
1305,iFreeETF TOPIX (Yearly Dividend Type),SPG
1306,TOPIX ETF,ICE
1308,Listed Index Fund TOPIX,SPG
1311,TOPIX Core 30 Exchange Traded,ICE
1319,Nikkei 300,ICE
1320,iFreeETF Nikkei225 (Yearly Dividend Type),SPG
1321,Nikkei 225 Exchange Traded Fund,ICE
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,SPG
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,ICE
1328,NEXT FUNDS Gold Price Exchange Traded Fund,ICE
1329,iShares Nikkei 225 ETF,ICE
1330,Listed Index Fund 225,SPG
133A,Global X Ultra Short-Term T-Bill ETF,SOLACTIVE
1343,NEXT FUNDS REIT INDEX ETF,ICE
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Dividend Payment Type,SPG
1346,MAXIS NIKKEI225 ETF,ICE
1348,MAXIS TOPIX ETF,ICE
1356,TOPIX Bear -2x ETF,ICE
1357,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,ICE
1358,Listed Index Fund Nikkei Leveraged Index,SPG
1360,Nikkei225 Bear -2x ETF,ICE
1364,iShares JPX-Nikkei 400 ETF,ICE
1365,iFreeETF Nikkei225 Leveraged Index,SPG
1366,iFreeETF Nikkei225 Double Inverse Index,SPG
1367,iFreeETF TOPIX Leveraged (2x) Index,SPG
1368,iFreeETF TOPIX Double Inverse (-2x) Index,SPG
1369,One ETF Nikkei225,ICE
1397,SMAM NIKKEI225 ETF,ICE
1398,SMAM REIT Index ETF,ICE
1399,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,SPG
140A,iFreeETF 10-Year U.S. Treasury Note Futures Inverse,SPG
1456,iFreeETF Nikkei225 Inverse Index,SPG
1457,iFreeETF TOPIX Inverse (-1x) Index,SPG
1458,Rakuten ETF-Nikkei 225 Leveraged Index,ICE
1459,Rakuten ETF-Nikkei 225 Double Inverse Index,ICE
1466,iFreeETF JPX-Nikkei400 Double Inverse (-2x) Index,SPG
1469,JPX-Nikkei 400 Bear -2x Double Inverse ETF,ICE
1472,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund,ICE
1473,One ETF TOPIX,ICE
1474,One ETF JPX-Nikkei400,ICE
1475,iShares TOPIX ETF,ICE
1476,iShares Japan REIT ETF,ICE
1477,iShares MSCI Japan Minimum Volatility (ex-REITs) ETF,ICE
1478,iShares MSCI Japan High Dividend ETF,ICE
1479,iFreeETF MSCI Japan Human and Physical Investment Index,SPG
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,ICE
1481,Listed Index Fund Japanese Economy Contributor Stocks,SPG
1482,iShares US Treasury Bond 7-10 Year JPY Hedged ETF,ICE
1483,iShares JPX/S&P CAPEX & Human Capital ETF,ICE
1484,One ETF JPX/S&P CAPEX & Human Capital Index,ICE
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF,ICE
1486,Listed Index Fund US Bond (No Currency Hedge),SPG
1487,Listed Index Fund US Bond (Currency Hedge),SPG
1488,iFreeETF Tokyo Stock Exchange REIT Index,SPG
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,ICE
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged),SPG
1493,One ETF JPX-Nikkei Mid Small,ICE
1494,One ETF High Dividend Japan Equity,ICE
1495,Listed Index Fund Asian REIT,SPG
1498,One ETF ESG,ICE
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,ICE
1545,NEXT FUNDS NASDAQ-100,ICE
1546,NEXT FUNDS Dow Jones Industrial Average Exchange Traded Fund,ICE
1547,Listed Index Fund US Equity (S&P500),SPG
1550,MAXIS Global Equity (MSCI Kokusai),ICE
1551,TSE STANDARD TOP 20 ETF,ICE
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,SPG
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),SPG
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,ICE
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,ICE
1563,TSE Growth Core ETF,ICE
1566,Listed Index Fund Emerging Bond,SPG
1568,TOPIX Bull 2x ETF,ICE
1569,TOPIX Bear -1x ETF,ICE
1570,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,ICE
1571,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,ICE
1572,China Bull 2x HSCEI ETF,ICE
1573,China Bear -1x HSCEI ETF,ICE
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund,ICE
