STOCK_CODE,STOCK_NAME,ETF_A_SHARES,ETF_B_SHARES,COMMON_HOLDING
1301,KYOKUYO CO LTD,352000.0,8800.0,True
1332,NISSUI CORPORATION,7526800.0,188500.0,True
1333,UMIOS CORP,4081400.0,102200.0,True
1375,YUKIGUNI FACTORY,715700.0,17900.0,True
1376,KANEKO SEEDS CO,237500.0,5900.0,True
1377,SAKATA SEED CORP,1017900.0,25500.0,True
1379,HOKUTO CORP,747800.0,18700.0,True
1414,SHO-BOND HOLDINGS,4908400.0,122900.0,True
1417,MIRAIT ONE CORP,2865900.0,71800.0,True
1419,TAMA HOME CO LTD,528200.0,13200.0,True
1435,ROBOT HOME INC,1634100.0,40900.0,True
1514,SUMISEKI HOLDINGS,753400.0,18900.0,True
1515,NITTETSU MINING CO,1613900.0,40400.0,True
1518,MITSUI MATSU HLDGS,1024900.0,25700.0,True
1605,INPEX CORPORATION,28223500.0,706800.0,True
1662,JAPAN PETROLEUM EX,5184600.0,129800.0,True
1663,K&O ENERGY GROUP I,762200.0,19100.0,True
166A,TASUKI HLDGS INC,1453000.0,36400.0,True
167A,RYOYO RYOSAN HOLDI,1120700.0,28100.0,True
1716,DAI-ICHI CUTTER KO,215200.0,5400.0,True
1719,HAZAMA ANDO CORP,4463300.0,111800.0,True
1720,TOKYU CONST(NEW),2632400.0,65900.0,True
1721,COMSYS HOLDINGS,2645000.0,66200.0,True
1762,TAKAMATSU CONSTRUC,624400.0,15600.0,True
1766,TOKEN CORPORATION,181200.0,4500.0,True
1780,YAMAURA CORP,459600.0,11500.0,True
1786,ORIENTAL SHIRAISHI,3111400.0,77900.0,True
1801,TAISEI CORP,4389400.0,109900.0,True
1802,OBAYASHI CORP,18608300.0,466000.0,True
1803,SHIMIZU CORP,16064600.0,402300.0,True
1808,HASEKO CORPORATION,5244700.0,131300.0,True
1810,MATSUI CONSTRUCT,479800.0,12000.0,True
1812,KAJIMA CORP,13034800.0,326400.0,True
1813,FUDO TETRA CORP,332700.0,8300.0,True
1815,TEKKEN CORP,369200.0,9200.0,True
1820,NISHIMATSU CONSTCN,936800.0,23500.0,True
1822,DAIHO CORPORATION,771200.0,19300.0,True
1833,OKUMURA CORP,953300.0,23900.0,True
1835,TOTETSU KOGYO CO,647400.0,16200.0,True
1852,ASANUMA CORP,2354100.0,58900.0,True
1860,TODA CORP,7128100.0,178500.0,True
1861,KUMAGAI GUMI CO,3492900.0,87500.0,True
1870,YAHAGI CONSTRUCT,1099900.0,27500.0,True
1871,PS CONSTRUCTION CO,532200.0,13300.0,True
1873,NIHON HOUSE HOLDIN,1255200.0,31400.0,True
1878,DAITO TRUST CONST,10041300.0,251500.0,True
1879,SHINNIHON CORP,825200.0,20700.0,True
1882,TOA ROAD CORP,903700.0,22600.0,True
1885,TOA CORP (CONST),2169200.0,54300.0,True
1887,JDC CORPORATION,1800600.0,45100.0,True
1888,WAKACHIKU CONSTRUC,174400.0,4400.0,True
1893,PENTA OCEAN CONST,8334300.0,208700.0,True
1898,SEIKITOKYU KOGYO,922800.0,23100.0,True
1899,FUKUDA CORP,523800.0,13100.0,True
1911,SUMITOMO FORESTRY,15251700.0,381900.0,True
1925,DAIWA HOUSE INDS,16263200.0,407300.0,True
1926,RAITO KOGYO CO LTD,1059600.0,26500.0,True
1928,SEKISUI HOUSE,17520500.0,438700.0,True
1929,NITTOC CONSTRUCT,561900.0,14100.0,True
1930,HOKURIKU ELEC CONS,335800.0,8400.0,True
1934,YURTEC CORPORATION,1240700.0,31100.0,True
1938,NIPPON RIETEC CO,450400.0,11300.0,True
1939,YONDENKO CORP,737900.0,18500.0,True
1941,CHUDENKO CORP,781900.0,19600.0,True
1942,KANDENKO CO LTD,3221100.0,80700.0,True
