SECTION,RANK,ITEM,VALUE,NOTE
REPORT_INFO,1,REPORT_DATE,2026-09-09,
MARKET_FLOW,1,プライム（内国株式）,931739.961982,
MARKET_FLOW,2,スタンダード（内国株式）,17204.095788,
MARKET_FLOW,3,グロース（内国株式）,-291700.0,
SECTOR_FLOW,1,鉄鋼,719295.201184,
SECTOR_FLOW,2,非鉄金属,566308.687236,
SECTOR_FLOW,3,電気・ガス業,360028.335559,
SECTOR_FLOW,4,電気機器,219663.869998,
SECTOR_FLOW,5,陸運業,193271.102385,
SECTOR_FLOW,6,化学,115906.318404,
SECTOR_FLOW,7,輸送用機器,114963.4028,
SECTOR_FLOW,8,機械,91881.601786,
SECTOR_FLOW,9,海運業,55006.1319,
SECTOR_FLOW,10,パルプ・紙,40794.158419,
SIZE_FLOW,1,TOPIX Mid400,966703.332407,
SIZE_FLOW,2,TOPIX Large70,443583.4390960001,
SIZE_FLOW,3,TOPIX Small 1,161711.507587,
SIZE_FLOW,4,TOPIX Small 2,145691.554843,
SIZE_FLOW,5,TOPIX Core30,-767050.394664,
SMART_MONEY,1,日本製鉄,1170019.8342240006,ETF_COUNT=6
SMART_MONEY,2,住友電気工業,280797.22311499994,ETF_COUNT=5
SMART_MONEY,3,ＪＦＥホールディングス,188500.027565,ETF_COUNT=5
SMART_MONEY,4,東京電力ホールディングス,165010.34496000002,ETF_COUNT=5
SMART_MONEY,5,神戸製鋼所,124851.461292,ETF_COUNT=6
SMART_MONEY,6,フジクラ,104700.00000000004,ETF_COUNT=3
SMART_MONEY,7,ＪＸ金属,81289.43986000004,ETF_COUNT=5
SMART_MONEY,8,関西電力,79235.3264,ETF_COUNT=4
SMART_MONEY,9,ソフトバンクグループ,48000.00000000001,ETF_COUNT=2
SMART_MONEY,10,古河電気工業,40199.99999999999,ETF_COUNT=3
ETF_LEADERBOARD,1,One ETF TOPIX,7663000.0,ＮＴＴ
ETF_LEADERBOARD,2,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,1124900.0,日本製鉄
ETF_LEADERBOARD,3,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,971600.0,ソフトバンク
ETF_LEADERBOARD,4,iShares Nikkei 225 ETF,366700.0,ソフトバンクグループ
ETF_LEADERBOARD,5,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,326800.0,東京電力ホールディングス
ETF_LEADERBOARD,6,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,210700.0,東日本旅客鉄道
ETF_LEADERBOARD,7,NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund,40700.0,サンリオ
ETF_LEADERBOARD,8,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund,18200.0,ルネサスエレクトロニクス
ETF_LEADERBOARD,9,iShares JPX/S&P CAPEX & Human Capital ETF,14900.0,ＮＴＴ
ETF_LEADERBOARD,10,TSE Mothers ETF,4800.0,アンジェス
ETF_TOP_STOCK,1,One ETF TOPIX,ＮＴＴ,997500.0
ETF_TOP_STOCK,2,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,日本製鉄,433500.0
ETF_TOP_STOCK,3,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,ソフトバンク,233500.0
ETF_TOP_STOCK,4,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,東京電力ホールディングス,83800.0
ETF_TOP_STOCK,5,iShares Nikkei 225 ETF,ソフトバンクグループ,24000.0
ETF_TOP_STOCK,6,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,東日本旅客鉄道,22200.0
ETF_TOP_STOCK,7,NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund,サンリオ,8000.0
ETF_TOP_STOCK,8,iShares JPX/S&P CAPEX & Human Capital ETF,ＮＴＴ,4700.0
ETF_TOP_STOCK,9,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund,ルネサスエレクトロニクス,4000.0
ETF_TOP_STOCK,10,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,いすゞ自動車,3400.0
