RANK,STOCK_CODE,STOCK_NAME_JP,TOTAL_CHANGE,ETF_COUNT,TOP_ETF_CODE,TOP_ETF_NAME,TOP_ETF_CHANGE,TOP_ETF_RATIO,SMART_SCORE
1,5401,日本製鉄,628503.305704,6,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,433500.0,0.6897338423931236,1170019.8342240006
2,5802,住友電気工業,275759.444623,5,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,219600.0,0.7963462513504208,280797.22311499994
3,5411,ＪＦＥホールディングス,89300.005513,5,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,51600.0,0.5778275119197864,188500.027565
4,9501,東京電力ホールディングス,116802.068992,5,1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,83800.0,0.7174530444810838,165010.34496000002
5,5406,神戸製鋼所,52808.576882,6,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,32000.0,0.6059621729913975,124851.461292
6,5803,フジクラ,157700.0,3,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,122800.0,0.7786937222574508,104700.00000000003
7,5016,ＪＸ金属,76857.88797200001,5,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,60600.0,0.7884681923874503,81289.43986000004
8,9503,関西電力,70208.8316,4,1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,50400.0,0.7178584068617373,79235.3264
9,9984,ソフトバンクグループ,93700.0,2,1473,One ETF TOPIX,69700.0,0.743863393810032,48000.00000000001
10,5801,古河電気工業,66300.0,3,1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,52900.0,0.7978883861236803,40199.999999999985
