ETF_CODE,ETF_NAME_JP,ETF_TYPE,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
1305,iFreeETF TOPIX（年1回決算型）,PASSIVE,2001/7/13,10.0,Other,JP Equity,,0.0
1306,NEXT FUNDS TOPIX連動型上場投信,PASSIVE,2001/7/13,10.0,Market,JP Equity,,-3132200.0
1308,上場インデックスファンドTOPIX,PASSIVE,2002/1/9,1.0,Market,JP Equity,,0.0
1311,NEXT FUNDS TOPIX Core 30 連動型上場投信,PASSIVE,2002/4/3,1.0,Market,JP Equity,,0.0
1319,NEXT FUNDS 日経300株価指数連動型上場投信,PASSIVE,1995/5/29,1000.0,Market,JP Equity,,0.0
1320,iFreeETF 日経225（年1回決算型）,PASSIVE,2001/7/13,1.0,Market,JP Equity,,0.0
1321,NEXT FUNDS 日経225連動型上場投信,PASSIVE,2001/7/13,1.0,Market,JP Equity,,0.0
1322,上場インデックスファンド中国A株(パン,PASSIVE,2008/4/11,1.0,Other,JP Equity,,0.0
1325,NEXT FUNDS ブラジル株式指数･ボベスパ連動型上場投信,PASSIVE,2008/7/18,10.0,Other,JP Equity,,0.0
1328,NEXT FUNDS 金価格連動型上場投信,PASSIVE,2007/8/10,1.0,Other,JP Equity,,0.0
1329,iシェアーズ･コア 日経225 ETF,PASSIVE,2001/9/5,1.0,Market,JP Equity,ソフトバンクグループ,366700.0
1330,上場インデックスファンド225,PASSIVE,2001/7/13,1.0,Market,JP Equity,,0.0
133A,グローバルＸ 超短期米国債 ETF,PASSIVE,2024/1/31,1.0,Bond,Bond,,0.0
1343,NEXT FUNDS 東証REIT指数連動型上場投信,REIT,2008/9/18,10.0,Other,JP Equity,,0.0
1345,上場インデックスファンドJリート(東証REIT指数)隔月分配型,REIT,2008/10/21,1.0,Other,JP Equity,,0.0
1346,MAXIS 日経225上場投信,PASSIVE,2009/2/25,1.0,Market,JP Equity,,0.0
1348,MAXIS トピックス上場投信,PASSIVE,2009/5/15,1.0,Market,JP Equity,,0.0
1356, TOPIXベア2倍上場投信,LEVERAGED_INVERSE, 2014/5/29,10.0,Leveraged,Leveraged/Inverse,,0.0
1357,NEXT FUNDS 日経平均ダブルインバース･インデックス連動型上場投信,LEVERAGED_INVERSE,2014/7/16,1.0,Leveraged,Leveraged/Inverse,,0.0
1358,上場インデックスファンド日経レバレッジ指数 ,LEVERAGED_INVERSE,2014/8/26,1.0,Market,JP Equity,,0.0
1360,日経平均ベア2倍上場投信,LEVERAGED_INVERSE, 2014/11/11,10.0,Leveraged,Leveraged/Inverse,,0.0
